item,itemID,type,choices,complexity_category,definition,gloss
gruaig,item_360,BODY PARTS,produces; doesn't produce,,gruaig,knee
hair,item_361,BODY PARTS,produces; doesn't produce,,hair,hair
gualainn,item_362,BODY PARTS,produces; doesn't produce,,gualainn,hair
shoulder(s),item_363,BODY PARTS,produces; doesn't produce,,shoulder(s),shoulder(s)
lámh,item_364,BODY PARTS,produces; doesn't produce,,lámh,shoulder(s)
hand,item_365,BODY PARTS,produces; doesn't produce,,hand,hand
leiceann,item_366,BODY PARTS,produces; doesn't produce,,leiceann,hand
cheek,item_367,BODY PARTS,produces; doesn't produce,,cheek,cheek
lúidín,item_368,BODY PARTS,produces; doesn't produce,,lúidín,little finger
mala,item_369,BODY PARTS,produces; doesn't produce,,mala,little finger
eyebrow,item_370,BODY PARTS,produces; doesn't produce,,eyebrow,eyebrow
méar,item_371,BODY PARTS,produces; doesn't produce,,méar,eyebrow
finger,item_372,BODY PARTS,produces; doesn't produce,,finger,finger
muineál,item_373,BODY PARTS,produces; doesn't produce,,muineál,finger
neck,item_374,BODY PARTS,produces; doesn't produce,,neck,neck
ordóg,item_375,BODY PARTS,produces; doesn't produce,,ordóg,neck
thumb,item_376,BODY PARTS,produces; doesn't produce,,thumb,thumb
pilibín,item_377,BODY PARTS,produces; doesn't produce,,pilibín,thumb
willy,item_378,BODY PARTS,produces; doesn't produce,,willy,willy
smig,item_379,BODY PARTS,produces; doesn't produce,,smig,willy
chin,item_380,BODY PARTS,produces; doesn't produce,,chin,chin
srón,item_381,BODY PARTS,produces; doesn't produce,,srón_caincín,chin
nose,item_382,BODY PARTS,produces; doesn't produce,,nose,nose
scornach,item_383,BODY PARTS,produces; doesn't produce,,scornach,nose
throat,item_384,BODY PARTS,produces; doesn't produce,,throat,throat
súil,item_385,BODY PARTS,produces; doesn't produce,,súil,throat
eye,item_386,BODY PARTS,produces; doesn't produce,,eye,eye
teanga,item_387,BODY PARTS,produces; doesn't produce,,teanga,eye
tongue,item_388,BODY PARTS,produces; doesn't produce,,tongue,tongue
tóin,item_389,BODY PARTS,produces; doesn't produce,,tóin_bundún,tongue
bottom,item_390,BODY PARTS,produces; doesn't produce,,bottom,bottom
uilinn,item_391,BODY PARTS,produces; doesn't produce,,uilinn,bottom
elbow,item_392,BODY PARTS,produces; doesn't produce,,elbow,elbow
airgead,item_393,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,airgead,elbow
money,item_394,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,money,money
babhla,item_395,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,babhla_mias,money
bowl,item_396,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bowl,bowl
bascaed,item_397,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bascaed_ciseán,bowl
basket,item_398,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,basket,basket
blaincéad,item_399,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,blaincéad_pluid,basket
blanket,item_400,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,blanket,blanket
bord,item_401,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bord,blanket
table,item_402,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,table,table
bosca,item_403,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bosca,table
box,item_404,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,box,box
boscabruscair,item_405,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,boscabruscair,box
dustbin,item_406,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,dustbin,dustbin
bruscar,item_407,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bruscar,dustbin
rubbish,item_408,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,rubbish,rubbish
buicéad,item_409,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,buicéad,rubbish
bucket,item_410,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bucket,bucket
buidéal,item_411,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,buidéal,bucket
bottle,item_412,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bottle,bottle
casúr,item_413,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,casúr,bottle
hammer,item_414,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,hammer,hammer
ceamara,item_415,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,ceamara,hammer
camara,item_416,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,camara,camara
cíor,item_417,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,cíor,camara
comb,item_418,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,comb,comb
kettle,item_419,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,kettle_citeal_ie,kettle
fíochán,item_420,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,fíochán_shciarsúr,kettle
tissue,item_421,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,tissue,tissue
folúsghlantóir,item_422,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,folúsghlantóir,tissue
hoover,item_423,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,hoover,hoover
fónphóca,item_424,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,fónphóca,hoover
mobilephone,item_425,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,mobilephone,mobilephone
fork,item_426,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,fork_forc_ie,fork
gallúnach,item_427,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,gallúnach,fork
soap,item_428,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,soap,soap
gloine,item_429,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,gloine,soap
glass,item_430,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,glass,glass
lampa,item_431,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,lampa,glass
lamp,item_432,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,lamp,lamp
leigheas,item_433,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,leigheas,lamp
medicine,item_434,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,medicine,medicine
mála,item_435,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,mála,medicine
bag,item_436,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,bag,bag
mapa,item_437,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,mapa_léarscáil,bag
map,item_438,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,map,map
muga,item_439,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,muga,map
mug,item_440,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,mug,mug
páipéar,item_441,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,páipéar,mug
paper,item_442,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,paper,paper
pingin,item_443,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pingin,paper
penny,item_444,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,penny_cent,penny
pictúir,item_445,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pictúir,penny
picture,item_446,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,picture,picture
radio,item_447,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,radio_radio_ie,radio
sáspan,item_448,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,sáspan,radio
saucepan,item_449,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,saucepan,saucepan
scáthán,item_450,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,scáthán,saucepan
mirror,item_451,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,mirror,mirror
scian,item_452,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,scian,mirror
knife,item_453,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,knife,knife
sconna,item_454,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,sconna,sconna
tap,item_455,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,tap,tap
scuab,item_456,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,scuab,scuab
brush,item_457,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,brush,brush
scualfiacla,item_458,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,scualfiacla,brush
toothbrush,item_459,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,toothbrush,toothbrush
shampooie,item_460,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,shampooie,shampoo
siosúr,item_461,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,siosúr,shampoo
scissors,item_462,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,scissors,scissors
solas,item_463,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,solas,scissors
light,item_464,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,light,light
spúnóg,item_465,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,spúnóg,light
spoon,item_466,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,spoon,spoon
taephota,item_467,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,taephota,spoon
teapot,item_468,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,teapot,teapot
taosfiacla,item_469,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,taosfiacla,teapot
toothpaste,item_470,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,toothpaste,toothpaste
teileafón,item_471,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,teileafón_guthán,toothpaste
telephone,item_472,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,telephone,telephone
clog,item_473,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,clog,telephone
clock,item_474,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,clock,clock
crúiscín,item_475,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,crúiscín,clock
jug,item_476,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,jug,jug
cupán,item_477,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,cupán,jug
cup,item_478,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,cup,cup
eochair,item_479,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,eochair_eochracha,cup
key,item_480,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,key_s,key
piliúr,item_481,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,piliúr,key
pillow,item_482,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pillow,pillow
planda,item_483,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,planda_luibh,pillow
plant,item_484,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,plant,plant
pláta,item_485,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pláta,plant
plate,item_486,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,plate,plate
pota,item_487,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pota,plate
pot,item_488,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,pot,pot
tape,item_489,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,tape_téip_DVD,tape
túaille,item_490,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,túaille,tape
towel,item_491,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,towel,towel
uaireadóir,item_492,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,uaireadóir,towel
watch,item_493,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,watch,watch
beithilín,item_494,FURNITURE AND ROOMS,produces; doesn't produce,,beithilín_máinséar,watch
cot,item_495,FURNITURE AND ROOMS,produces; doesn't produce,,cot,cot
cathaoir,item_496,FURNITURE AND ROOMS,produces; doesn't produce,,cathaoir,cot
chair,item_497,FURNITURE AND ROOMS,produces; doesn't produce,,chair,chair
cathaoirard,item_498,FURNITURE AND ROOMS,produces; doesn't produce,,cathaoirard,chair
highchair,item_499,FURNITURE AND ROOMS,produces; doesn't produce,,highchair,highchair
cistin,item_500,FURNITURE AND ROOMS,produces; doesn't produce,,cistin,highchair
kitchen,item_501,FURNITURE AND ROOMS,produces; doesn't produce,,kitchen,kitchen
cith,item_502,FURNITURE AND ROOMS,produces; doesn't produce,,cith_fholcadh,kitchen
shower,item_503,FURNITURE AND ROOMS,produces; doesn't produce,,shower,shower
cófra,item_504,FURNITURE AND ROOMS,produces; doesn't produce,,cófra_preas,shower
cupboard,item_505,FURNITURE AND ROOMS,produces; doesn't produce,,cupboard_press,cupboard
cuisneoir,item_506,FURNITURE AND ROOMS,produces; doesn't produce,,cuisneoir,cupboard
fridge,item_507,FURNITURE AND ROOMS,produces; doesn't produce,,fridge,fridge
doirteal,item_508,FURNITURE AND ROOMS,produces; doesn't produce,,doirteal_báisín,fridge
sink,item_509,FURNITURE AND ROOMS,produces; doesn't produce,,sink,sink
doras,item_510,FURNITURE AND ROOMS,produces; doesn't produce,,doras,sink
door,item_511,FURNITURE AND ROOMS,produces; doesn't produce,,door,door
folcadán,item_512,FURNITURE AND ROOMS,produces; doesn't produce,,folcadán_dabhach,door
bath,item_513,FURNITURE AND ROOMS,produces; doesn't produce,,bath,bath
fuinneog,item_514,FURNITURE AND ROOMS,produces; doesn't produce,,fuinneog,bath
window,item_515,FURNITURE AND ROOMS,produces; doesn't produce,,window,window
garáise,item_516,FURNITURE AND ROOMS,produces; doesn't produce,,garáise,window
garage,item_517,FURNITURE AND ROOMS,produces; doesn't produce,,garage,garage
leaba,item_518,FURNITURE AND ROOMS,produces; doesn't produce,,leaba_leabaigh,garage
bed,item_519,FURNITURE AND ROOMS,produces; doesn't produce,,bed,bed
leithreas,item_520,FURNITURE AND ROOMS,produces; doesn't produce,,leithreas,bed
toilet,item_521,FURNITURE AND ROOMS,produces; doesn't produce,,toilet,toilet
meaisínníócháín,item_522,FURNITURE AND ROOMS,produces; doesn't produce,,meaisínníócháín,toilet
washingmachine,item_523,FURNITURE AND ROOMS,produces; doesn't produce,,washingmachine,washingmachine
oigheann,item_524,FURNITURE AND ROOMS,produces; doesn't produce,,oigheann,washingmachine
oven,item_525,FURNITURE AND ROOMS,produces; doesn't produce,,oven,oven
potabeag,item_526,FURNITURE AND ROOMS,produces; doesn't produce,,potabeag,oven
potty,item_527,FURNITURE AND ROOMS,produces; doesn't produce,,potty,potty
seomra,item_528,FURNITURE AND ROOMS,produces; doesn't produce,,seomra,potty
room,item_529,FURNITURE AND ROOMS,produces; doesn't produce,,room,room
seomrafolctha,item_530,FURNITURE AND ROOMS,produces; doesn't produce,,seomrafolctha,room
bathroom,item_531,FURNITURE AND ROOMS,produces; doesn't produce,,bathroom,bathroom
seomraleapa,item_532,FURNITURE AND ROOMS,produces; doesn't produce,,seomraleapa,bathroom
bedroom,item_533,FURNITURE AND ROOMS,produces; doesn't produce,,bedroom,bedroom
seomrasuí,item_534,FURNITURE AND ROOMS,produces; doesn't produce,,seomrasuí,bedroom
sittingroom,item_535,FURNITURE AND ROOMS,produces; doesn't produce,,sittingroom,sittingroom
seomrasúgartha,item_536,FURNITURE AND ROOMS,produces; doesn't produce,,seomrasúgartha,sittingroom
playroom,item_537,FURNITURE AND ROOMS,produces; doesn't produce,,playroom,playroom
sorn,item_538,FURNITURE AND ROOMS,produces; doesn't produce,,sorn,playroom
cooker,item_539,FURNITURE AND ROOMS,produces; doesn't produce,,cooker,cooker
staighre,item_540,FURNITURE AND ROOMS,produces; doesn't produce,,staighre,cooker
stairs,item_541,FURNITURE AND ROOMS,produces; doesn't produce,,stairs,stairs
stól,item_542,FURNITURE AND ROOMS,produces; doesn't produce,,stól,stairs
stool,item_543,FURNITURE AND ROOMS,produces; doesn't produce,,stool,stool
tarraicéan,item_544,FURNITURE AND ROOMS,produces; doesn't produce,,tarraicéan,stool
drawer,item_545,FURNITURE AND ROOMS,produces; doesn't produce,,drawer,drawer
teilifís,item_546,FURNITURE AND ROOMS,produces; doesn't produce,,teilifís,drawer
television,item_547,FURNITURE AND ROOMS,produces; doesn't produce,,television,television
tine,item_548,FURNITURE AND ROOMS,produces; doesn't produce,,tine,television
fire,item_549,FURNITURE AND ROOMS,produces; doesn't produce,,fire,fire
tolg,item_550,FURNITURE AND ROOMS,produces; doesn't produce,,tolg_cúits,fire
couch,item_551,FURNITURE AND ROOMS,produces; doesn't produce,,couch_sofa,couch
urlár,item_552,FURNITURE AND ROOMS,produces; doesn't produce,,urlár,couch
floor,item_553,FURNITURE AND ROOMS,produces; doesn't produce,,floor,floor
báisteach,item_554,OUTSIDE THINGS,produces; doesn't produce,,báisteach,floor
rain,item_555,OUTSIDE THINGS,produces; doesn't produce,,rain,rain
bata,item_556,OUTSIDE THINGS,produces; doesn't produce,,bata_maide,rain
stick,item_557,OUTSIDE THINGS,produces; doesn't produce,,stick,stick
bláth,item_558,OUTSIDE THINGS,produces; doesn't produce,,bláth,stick
flower,item_559,OUTSIDE THINGS,produces; doesn't produce,,flower,flower
bothán,item_560,OUTSIDE THINGS,produces; doesn't produce,,bothán_sciobóil,flower
shed,item_561,OUTSIDE THINGS,produces; doesn't produce,,shed,shed
bóthar,item_562,OUTSIDE THINGS,produces; doesn't produce,,bóthar,shed
road,item_563,OUTSIDE THINGS,produces; doesn't produce,,road,road
brat(ach),item_564,OUTSIDE THINGS,produces; doesn't produce,,brat(ach),road
flag,item_565,OUTSIDE THINGS,produces; doesn't produce,,flag,flag
buicéad,item_566,OUTSIDE THINGS,produces; doesn't produce,,buicéad,flag
bucket,item_567,OUTSIDE THINGS,produces; doesn't produce,,bucket,bucket
carraig,item_568,OUTSIDE THINGS,produces; doesn't produce,,carraig,bucket
rock,item_569,OUTSIDE THINGS,produces; doesn't produce,,rock,rock
ceo,item_570,OUTSIDE THINGS,produces; doesn't produce,,ceo,rock
fog,item_571,OUTSIDE THINGS,produces; doesn't produce,,fog,fog
claí,item_572,OUTSIDE THINGS,produces; doesn't produce,,claí_sconsa,fog
fence,item_573,OUTSIDE THINGS,produces; doesn't produce,,fence,fence
cloch,item_574,OUTSIDE THINGS,produces; doesn't produce,,cloch,cloch
stone,item_575,OUTSIDE THINGS,produces; doesn't produce,,stone,stone
cosán,item_576,OUTSIDE THINGS,produces; doesn't produce,,cosán_páile,stone
foothpath,item_577,OUTSIDE THINGS,produces; doesn't produce,,foothpath,foothpath
crann,item_578,OUTSIDE THINGS,produces; doesn't produce,,crann,foothpath
tree,item_579,OUTSIDE THINGS,produces; doesn't produce,,tree,tree
díon,item_580,OUTSIDE THINGS,produces; doesn't produce,,díon,tree
roof,item_581,OUTSIDE THINGS,produces; doesn't produce,,roof,roof
dréimire,item_582,OUTSIDE THINGS,produces; doesn't produce,,dréimire,roof
ladder,item_583,OUTSIDE THINGS,produces; doesn't produce,,ladder,ladder
falla,item_584,OUTSIDE THINGS,produces; doesn't produce,,falla_balla,ladder
wall,item_585,OUTSIDE THINGS,produces; doesn't produce,,wall,wall
farraige,item_586,OUTSIDE THINGS,produces; doesn't produce,,farraige,wall
sea,item_587,OUTSIDE THINGS,produces; doesn't produce,,sea,sea
féar,item_588,OUTSIDE THINGS,produces; doesn't produce,,féar,sea
grass,item_589,OUTSIDE THINGS,produces; doesn't produce,,grass,grass
fearsneachta,item_590,OUTSIDE THINGS,produces; doesn't produce,,fearsneachta,grass
snowman,item_591,OUTSIDE THINGS,produces; doesn't produce,,snowman,snowman
gaineamh,item_592,OUTSIDE THINGS,produces; doesn't produce,,gaineamh,snowman
sand,item_593,OUTSIDE THINGS,produces; doesn't produce,,sand,sand
gairdín,item_594,OUTSIDE THINGS,produces; doesn't produce,,gairdín,sand
garden,item_595,OUTSIDE THINGS,produces; doesn't produce,,garden,garden
gaoth,item_596,OUTSIDE THINGS,produces; doesn't produce,,gaoth,garden
wind,item_597,OUTSIDE THINGS,produces; doesn't produce,,wind,wind
gealach,item_598,OUTSIDE THINGS,produces; doesn't produce,,gealach_ré,wind
moon,item_599,OUTSIDE THINGS,produces; doesn't produce,,moon,moon
geata,item_600,OUTSIDE THINGS,produces; doesn't produce,,geata,moon
gate,item_601,OUTSIDE THINGS,produces; doesn't produce,,gate,gate
grian,item_602,OUTSIDE THINGS,produces; doesn't produce,,grian,gate
sun,item_603,OUTSIDE THINGS,produces; doesn't produce,,sun,sun
laí,item_604,OUTSIDE THINGS,produces; doesn't produce,,laí_sluasaid,sun
shovel,item_605,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,shovel,shovel
linnsnámha,item_606,OUTSIDE THINGS,produces; doesn't produce,,linnsnámha,shovel
(swimming)pool,item_607,OUTSIDE THINGS,produces; doesn't produce,,(swimming)pool,(swimming)pool
loch,item_608,OUTSIDE THINGS,produces; doesn't produce,,loch_lochán,(swimming)pool
pond,item_609,OUTSIDE THINGS,produces; doesn't produce,,pond,pond
luascán,item_610,OUTSIDE THINGS,produces; doesn't produce,,luascán,pond
swings,item_611,OUTSIDE THINGS,produces; doesn't produce,,swings,swings
réalta,item_612,OUTSIDE THINGS,produces; doesn't produce,,réalta,swings
stars,item_613,OUTSIDE THINGS,produces; doesn't produce,,stars,stars
scamall,item_614,OUTSIDE THINGS,produces; doesn't produce,,scamall,stars
cloud,item_615,OUTSIDE THINGS,produces; doesn't produce,,cloud,cloud
sceach,item_616,OUTSIDE THINGS,produces; doesn't produce,,sceach,cloud
bush,item_617,OUTSIDE THINGS,produces; doesn't produce,,bush,bush
simléar,item_618,OUTSIDE THINGS,produces; doesn't produce,,simléar,bush
chimney,item_619,OUTSIDE THINGS,produces; doesn't produce,,chimney,chimney
sleamhnán,item_620,OUTSIDE THINGS,produces; doesn't produce,,sleamhnán,chimney
slide,item_621,OUTSIDE THINGS,produces; doesn't produce,,slide,slide
sneachta,item_622,OUTSIDE THINGS,produces; doesn't produce,,sneachta,slide
snow,item_623,OUTSIDE THINGS,produces; doesn't produce,,snow,snow
spéir,item_624,OUTSIDE THINGS,produces; doesn't produce,,spéir,snow
sky,item_625,OUTSIDE THINGS,produces; doesn't produce,,sky,sky
sráid,item_626,OUTSIDE THINGS,produces; doesn't produce,,sráid,sky
street,item_627,OUTSIDE THINGS,produces; doesn't produce,,street,street
uisce,item_628,OUTSIDE THINGS,produces; doesn't produce,,uisce,street
water,item_629,OUTSIDE THINGS,produces; doesn't produce,,water,water
abhaile,item_630,PLACES TO GO,produces; doesn't produce,,abhaile_baile,water
home,item_631,PLACES TO GO,produces; doesn't produce,,home,home
aifreann,item_632,PLACES TO GO,produces; doesn't produce,,aifreann,home
mass,item_633,PLACES TO GO,produces; doesn't produce,,mass,mass
amuigh,item_634,PLACES TO GO,produces; doesn't produce,,amuigh,mass
outside,item_635,PLACES TO GO,produces; doesn't produce,,outside,outside
campáil,item_636,PLACES TO GO,produces; doesn't produce,,campáil,outside
camping,item_637,PLACES TO GO,produces; doesn't produce,,camping,camping
cathair,item_638,PLACES TO GO,produces; doesn't produce,,cathair_bailemór,camping
city,item_639,PLACES TO GO,produces; doesn't produce,,city_town,city
coillte,item_640,PLACES TO GO,produces; doesn't produce,,coillte_coill,city
forest,item_641,PLACES TO GO,produces; doesn't produce,,forest,forest
cóisir,item_642,PLACES TO GO,produces; doesn't produce,,cóisir,forest
party,item_643,PLACES TO GO,produces; doesn't produce,,party,party
feirm,item_644,PLACES TO GO,produces; doesn't produce,,feirm,party
farm,item_645,PLACES TO GO,produces; doesn't produce,,farm,farm
gort,item_646,PLACES TO GO,produces; doesn't produce,,gort_garraí,farm
field,item_647,PLACES TO GO,produces; doesn't produce,,field,field
istigh,item_648,PLACES TO GO,produces; doesn't produce,,istigh,field
inside,item_649,PLACES TO GO,produces; doesn't produce,,inside,inside
obair,item_650,PLACES TO GO,produces; doesn't produce,,obair,inside
work,item_651,PLACES TO GO,produces; doesn't produce,,work,work
ospidéal,item_652,PLACES TO GO,produces; doesn't produce,,ospidéal,work
hospital,item_653,PLACES TO GO,produces; doesn't produce,,hospital,hospital
páirc,item_654,PLACES TO GO,produces; doesn't produce,,páirc,hospital
park,item_655,PLACES TO GO,produces; doesn't produce,,park,park
naíonra,item_656,PLACES TO GO,produces; doesn't produce,,naíonra,park
playschool,item_657,PLACES TO GO,produces; doesn't produce,,playschool,playschool
naíolann,item_658,PLACES TO GO,produces; doesn't produce,,naíolann,playschool
creche,item_659,PLACES TO GO,produces; doesn't produce,,creche,creche
picnicie,item_660,PLACES TO GO,produces; doesn't produce,,picnicie,picnic
scoil,item_661,PLACES TO GO,produces; doesn't produce,,scoil,picnic
school,item_662,PLACES TO GO,produces; doesn't produce,,school,school
siopa,item_663,PLACES TO GO,produces; doesn't produce,,siopa,school
shop,item_664,PLACES TO GO,produces; doesn't produce,,shop,shop
circus,item_665,PLACES TO GO,produces; doesn't produce,,circus_sorcas_ie,circus
teach,item_666,PLACES TO GO,produces; doesn't produce,,teach_tigh,circus
house,item_667,PLACES TO GO,produces; doesn't produce,,house,house
trá,item_668,PLACES TO GO,produces; doesn't produce,,trá_tráigh,house
beach,item_669,PLACES TO GO,produces; doesn't produce,,beach,beach
zú,item_670,PLACES TO GO,produces; doesn't produce,,zú,beach
zoo,item_671,PLACES TO GO,produces; doesn't produce,,zoo,zoo
ainmféinanpháiste,item_672,PEOPLE *or words used in your family,produces; doesn't produce,,ainmféinanpháiste,zoo
childsownname,item_673,PEOPLE *or words used in your family,produces; doesn't produce,,childsownname,childs own name
ainmfeighlípáistí,item_674,PEOPLE *or words used in your family,produces; doesn't produce,,ainmfeighlípáistí,childs own name
babysittername,item_675,PEOPLE *or words used in your family,produces; doesn't produce,,babysittername,baby sitter name
ainmpeata,item_676,PEOPLE *or words used in your family,produces; doesn't produce,,ainmpeata,baby sitter name
petname,item_677,PEOPLE *or words used in your family,produces; doesn't produce,,petname,petname
aintín,item_678,PEOPLE *or words used in your family,produces; doesn't produce,,aintín,petname
aunty,item_679,PEOPLE *or words used in your family,produces; doesn't produce,,aunty,aunty
bean,item_680,PEOPLE *or words used in your family,produces; doesn't produce,,bean,aunty
woman,item_681,PEOPLE *or words used in your family,produces; doesn't produce,,woman,woman
buachaill,item_682,PEOPLE *or words used in your family,produces; doesn't produce,,buachaill_garsún,woman
boy,item_683,PEOPLE *or words used in your family,produces; doesn't produce,,boy,boy
cailín,item_684,PEOPLE *or words used in your family,produces; doesn't produce,,cailín,boy
girl,item_685,PEOPLE *or words used in your family,produces; doesn't produce,,girl,girl
cara,item_686,PEOPLE *or words used in your family,produces; doesn't produce,,cara,girl
friend,item_687,PEOPLE *or words used in your family,produces; doesn't produce,,friend,friend
colceathrar,item_688,PEOPLE *or words used in your family,produces; doesn't produce,,colceathrar,friend
cousin,item_689,PEOPLE *or words used in your family,produces; doesn't produce,,cousin,cousin
daideo,item_690,PEOPLE *or words used in your family,produces; doesn't produce,,daideo,cousin
grandad,item_691,PEOPLE *or words used in your family,produces; doesn't produce,,grandad,grandad
daidí,item_692,PEOPLE *or words used in your family,produces; doesn't produce,,daidí_daddy,daddy
daoine,item_693,PEOPLE *or words used in your family,produces; doesn't produce,,daoine,daddy
people,item_694,PEOPLE *or words used in your family,produces; doesn't produce,,people,people
deartháir,item_695,PEOPLE *or words used in your family,produces; doesn't produce,,deartháir,people
brother,item_696,PEOPLE *or words used in your family,produces; doesn't produce,,brother,brother
deirfiúr,item_697,PEOPLE *or words used in your family,produces; doesn't produce,,deirfiúr,brother
sister,item_698,PEOPLE *or words used in your family,produces; doesn't produce,,sister,sister
dochtúir,item_699,PEOPLE *or words used in your family,produces; doesn't produce,,dochtúir,sister
doctor,item_700,PEOPLE *or words used in your family,produces; doesn't produce,,doctor,doctor
duine,item_701,PEOPLE *or words used in your family,produces; doesn't produce,,duine,doctor
